route_name,route_index,stop_id,stop_name,original_latitude,original_longitude,snapped_latitude,snapped_longitude,formatted_address,place_id,search_query
Thiruthani,115,stop3,Kanakammachathram,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Kanakammachathram, Thiruthani, Chennai"
Thiruthani,115,stop4,Ramanjeri,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Ramanjeri, Thiruthani, Chennai"
Thiruthani,115,stop5,Narayanapuram Koot Road,13.1746411,79.611721,13.17462739049172,79.6117456818691,"Thiruttani, Tamil Nadu, India",ChIJG-iWgOikUjoRCKWbUeB_ET8,"Narayanapuram Koot Road, Thiruthani, Chennai"
Thiruthani,115,stop6,Pandur,13.1746411,79.611721,13.17462739049172,79.6117456818691,"Thiruttani, Tamil Nadu, India",ChIJG-iWgOikUjoRCKWbUeB_ET8,"Pandur, Thiruthani, Chennai"
Thiruthani,115,stop7,Thirupachur Bypass,13.1746411,79.611721,13.17462739049172,79.6117456818691,"Thiruttani, Tamil Nadu, India",ChIJG-iWgOikUjoRCKWbUeB_ET8,"Thirupachur Bypass, Thiruthani, Chennai"
Thiruthani,115,stop8,Manavala Nagar Bus Stop,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Manavala Nagar Bus Stop, Thiruthani, Chennai"
Thiruthani,115,stop9,Pattarai (Indian Oil Petrol Bunk),13.1746411,79.611721,13.17462739049172,79.6117456818691,"Thiruttani, Tamil Nadu, India",ChIJG-iWgOikUjoRCKWbUeB_ET8,"Pattarai (Indian Oil Petrol Bunk), Thiruthani, Chennai"
Thiruthani,115,stop10,Chatram,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Chatram, Thiruthani, Chennai"
Thiruthani,115,stop11,Mevalurkuppam,13.1746411,79.611721,13.17462739049172,79.6117456818691,"Thiruttani, Tamil Nadu, India",ChIJG-iWgOikUjoRCKWbUeB_ET8,"Mevalurkuppam, Thiruthani, Chennai"
Nemili-Panappakkam,116,stop1,Nemili Bus Stand,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Nemili Bus Stand, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop2,Vetangulam,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Vetangulam, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop3,Reddyvalam,12.9113292,79.6080967,12.9113292,79.6080967,"Reddivalam, Tamil Nadu, India",ChIJUQyx3VXGUjoR84bDnS7ADDg,"Reddyvalam, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop4,Panapakkam,12.9212731,79.5646536,12.921276177801515,79.56465317684554,"Panapakkam, Tamil Nadu 631052, India",ChIJExqmmdPHUjoRy-qMMPp3gWc,"Panapakkam, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop5,Damal,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Damal, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop6,Baluchetti,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Baluchetti, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop7,Ambi Bypass,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Ambi Bypass, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop8,Ariyaperumbakkam,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Ariyaperumbakkam, Nemili-Panappakkam, Chennai"
